Source sentence,Answer sentence
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,发生侧翻事故是伤者被-送往医院的无关事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,人甩出是人身亡的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,引爆炸药是村委会调解民事纠纷的后续事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,发生爆炸是引爆炸药的后续事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,发生爆炸是此案造成死亡的原因事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,查明杀人案件是此案造成死亡的后续事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,引爆炸药是此案造成死亡的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,此案造成死亡是引爆炸药的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,引爆炸药是此案造成死亡的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成死亡，查明杀人案件，,此案造成死亡是村委会调解民事纠纷的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,引爆炸药是村委会调解民事纠纷的后续事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,发生爆炸是引爆炸药的后续事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,发生爆炸是此案造成重伤的原因事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,查明杀人案件是此案造成重伤的后续事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,此案造成重伤是引爆炸药的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,村委会调解民事纠纷是发生爆炸的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,此案造成重伤是引爆炸药的无关事件。
村委会调解民事纠纷，引爆炸药，发生爆炸，此案造成重伤，查明杀人案件，,此案造成重伤是村委会调解民事纠纷的无关事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,业务员受伤是导购/业务员发生打斗的后续事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,抢救业务员是业务员受伤的后续事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,业务员死亡是抢救业务员的后续事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,导购涉嫌故意伤害是业务员死亡的后续事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,导购涉嫌故意伤害是警方采取强制措施的原因事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,实施批捕是警方采取强制措施的后续事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,抢救业务员是警方采取强制措施的无关事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,业务员死亡是导购/业务员发生打斗的无关事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,业务员死亡是业务员受伤的无关事件。
导购/业务员发生打斗，业务员受伤，抢救业务员，业务员死亡，导购涉嫌故意伤害，警方采取强制措施，实施批捕，,导购涉嫌故意伤害是抢救业务员的无关事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,消防支队调动消防中队/消防车/消防官兵是干货区遭受火袭的后续事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,消防中队/消防车/消防官兵赶到现场是消防支队调动消防中队/消防车/消防官兵的后续事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,消防中队/消防车/消防官兵灭火是消防中队/消防车/消防官兵赶到现场的后续事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,消防官兵苦战是消防中队/消防车/消防官兵灭火的后续事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,大火被-扑灭是消防官兵苦战的后续事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,干货区遭受火袭是消防中队/消防车/消防官兵赶到现场的无关事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,消防支队调动消防中队/消防车/消防官兵是消防中队/消防车/消防官兵灭火的无关事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,消防支队调动消防中队/消防车/消防官兵是消防官兵苦战的无关事件。
干货区遭受火袭，消防支队调动消防中队/消防车/消防官兵，消防中队/消防车/消防官兵赶到现场，消防中队/消防车/消防官兵灭火，消防官兵苦战，大火被-扑灭，,干货区遭受火袭是消防中队/消防车/消防官兵灭火的无关事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,升井人是煤矿发生爆炸事故的后续事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,部门成立调查组是升井人的后续事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,部门开展调查工作是部门成立调查组的后续事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,处理责任人是部门开展调查工作的后续事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,部门成立调查组是煤矿发生爆炸事故的无关事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,部门开展调查工作是煤矿发生爆炸事故的无关事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,部门开展调查工作是煤矿发生爆炸事故的无关事件。
煤矿发生爆炸事故，升井人，部门成立调查组，部门开展调查工作，处理责任人，,煤矿发生爆炸事故是部门开展调查工作的无关事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,车发生追尾事故是受影响的后续事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,车发生追尾事故是事故造成死的原因事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,伤者被-送往医院是事故造成死的后续事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,进行救治是伤者被-送往医院的后续事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,伤者被-送往医院是车发生追尾事故的无关事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,事故造成死是受影响的无关事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,伤者被-送往医院是受影响的无关事件。
受影响，车发生追尾事故，事故造成死，伤者被-送往医院，进行救治，,受影响是事故造成死的无关事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,车发生追尾事故是受影响的后续事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,车发生追尾事故是事故造成伤的原因事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,伤者被-送往医院是事故造成伤的后续事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,进行救治是伤者被-送往医院的后续事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,伤者被-送往医院是受影响的无关事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,受影响是伤者被-送往医院的无关事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,事故造成伤是受影响的无关事件。
受影响，车发生追尾事故，事故造成伤，伤者被-送往医院，进行救治，,伤者被-送往医院是车发生追尾事故的无关事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,发生杀人案件是导致受伤的原因事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,嫌疑人被-抓获是导致受伤的后续事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,人开枪是嫌疑人被-抓获的后续事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,人自杀是人开枪的后续事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,人开枪是发生杀人案件的无关事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,人开枪是导致受伤的无关事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,发生杀人案件是人开枪的无关事件。
发生杀人案件，导致受伤，嫌疑人被-抓获，人开枪，人自杀，,人开枪是发生杀人案件的无关事件。
